brewery,beer_name,beer_style,availability,abv,master_style
Newgrass Brewing Co.,Burnin' Bridges,American-Style Barley Wine Ale,,9.0,Ale
Newgrass Brewing Co.,Cardinal Gin Barrel Aged Philosopher's Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,,9.9,Other
Newgrass Brewing Co.,Carolina Uncommon,French & Belgian-Style Saison,Year Round,6.8,Saison
Newgrass Brewing Co.,Don't Tell Mama,American-Style India Pale Ale,,6.9,IPA
Newgrass Brewing Co.,Eat My Dust,Imperial or Double India Pale Ale,,7.6,IPA
Newgrass Brewing Co.,Fiddler's Daydream,Session India Pale Ale,,4.9,IPA
Newgrass Brewing Co.,Fiddler's Dream IPA,American-Style India Pale Ale,,6.9,IPA
Newgrass Brewing Co.,Fiddler's Nightmare,Imperial or Double India Pale Ale,,9.5,IPA
Newgrass Brewing Co.,Flowers & Fire,French & Belgian-Style Saison,,5.2,Saison
Newgrass Brewing Co.,Heart of Glass,Golden or Blonde Ale,,5.0,Ale
Newgrass Brewing Co.,Hop Armada (Jarrylo),American-Style Pale Ale,,5.6,Pale Ale
Newgrass Brewing Co.,It Was A Good Day,Imperial or Double India Pale Ale,,8.2,IPA
Newgrass Brewing Co.,It's Always Sunny In Citradelphia,American-Style India Pale Ale,,6.2,IPA
Newgrass Brewing Co.,Kenny Sours,Contemporary Gose,,4.2,Other
Newgrass Brewing Co.,Kolsch Krusher,German-Style Kölsch / Köln-Style Kölsch,,5.2,Other
Newgrass Brewing Co.,Lily Bean Golden Stout,American-Style Stout,,7.2,Stout
Newgrass Brewing Co.,Pleasant Livin',American-Style Pale Ale,,5.8,Pale Ale
Newgrass Brewing Co.,Raise Up,Imperial or Double India Pale Ale,,8.25,IPA
Newgrass Brewing Co.,Reality Crisis,Imperial or Double India Pale Ale,,8.5,IPA
Newgrass Brewing Co.,Reasonable Doubt,American-Style India Pale Ale,,6.1,IPA
Newgrass Brewing Co.,Scruggsdiddlyumptious,American-Style India Pale Ale,,7.7,IPA
Newgrass Brewing Co.,Steamcog,French & Belgian-Style Saison,,5.3,Saison
Newgrass Brewing Co.,T H I C C,Sweet or Cream Stout,,6.8,Stout
Newgrass Brewing Co.,Weisse Bound And Down,Berliner-Style Weisse (Wheat),,3.8,Other
Lenny Boy Brewing Co.,Atherton White Ale,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.3,Other
Lenny Boy Brewing Co.,Booty Call,Imperial or Double India Pale Ale,,8.7,IPA
Lenny Boy Brewing Co.,Breakfast in Heaven,Specialty Stouts,,10.0,Other
Lenny Boy Brewing Co.,Burn Down,American-Style Brown Ale,,5.0,Ale
Lenny Boy Brewing Co.,Burn Down For WHAT,American-Style Sour Ale,,5.4,Ale
Lenny Boy Brewing Co.,Carrot Spice,Non-Alcoholic Kombucha,Limited,,Other
Lenny Boy Brewing Co.,Chocolate Covered Raisins,American-Style Imperial Stout,,10.0,Stout
Lenny Boy Brewing Co.,Citraphilia,American-Style India Pale Ale,,6.2,IPA
Lenny Boy Brewing Co.,Crosstown Traffic,American-Style Pale Ale,,5.9,Pale Ale
Lenny Boy Brewing Co.,Das Fest Bier,Vienna-Style Lager,,5.6,Lager
Lenny Boy Brewing Co.,Dat Pale American Ale,American-Style Pale Ale,,5.2,Pale Ale
Lenny Boy Brewing Co.,Dry Hop'd Kettle Sour,American-Style Sour Ale,,5.5,Ale
Lenny Boy Brewing Co.,Elite Beet,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Fresh Basil,Non-Alcoholic Kombucha,Seasonal,,Other
Lenny Boy Brewing Co.,Good Ol' Ginger,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Ground Up Coffee Stout,Sweet or Cream Stout,,5.3,Stout
Lenny Boy Brewing Co.,Johnny Rico Red IPA,American-Style India Pale Ale,,6.0,IPA
Lenny Boy Brewing Co.,Laughing Yogi,Belgian-Style Pale Ale,,4.8,Pale Ale
Lenny Boy Brewing Co.,Lavenderade,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Life In The South,American-Style Lager,,4.2,Lager
Lenny Boy Brewing Co.,Lost Rose,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Merry Cranberry,Non-Alcoholic Kombucha,Seasonal,,Other
Lenny Boy Brewing Co.,Mint Condition,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Name Drop Milkshake IPA,American-Style India Pale Ale,,5.8,IPA
Lenny Boy Brewing Co.,No-Show Amber,American-Style Amber/Red Ale,,6.0,Ale
Lenny Boy Brewing Co.,NoDa,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.3,Other
Lenny Boy Brewing Co.,Passion Fruit,American-Style Sour Ale,Year Round,4.8,Ale
Lenny Boy Brewing Co.,Queen City Blues,American-Style Sour Ale,Year Round,5.4,Ale
Lenny Boy Brewing Co.,Seduction Series 1,Wood- and Barrel-Aged Sour Beer,,7.0,Other
Lenny Boy Brewing Co.,Send It,American-Style India Pale Ale,,6.3,IPA
Lenny Boy Brewing Co.,Strawberry,Non-Alcoholic Kombucha,Year Round,,Other
Lenny Boy Brewing Co.,Strawberry Seduction,American-Style Sour Ale,Year Round,5.0,Ale
Lenny Boy Brewing Co.,Sweet Potato Pie,Non-Alcoholic Kombucha,Seasonal,,Other
Lenny Boy Brewing Co.,Tangerine Dreamz,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.2,Other
Lenny Boy Brewing Co.,Tart De La Wit,Wild Beer,,4.6,Other
Lenny Boy Brewing Co.,The Magellan,American-Style Brown Ale,,5.0,Ale
Lenny Boy Brewing Co.,The Mirage,Belgian-Style Tripel,,8.8,Other
Lenny Boy Brewing Co.,Tropicalus,American-Style India Pale Ale,,6.0,IPA
Lenny Boy Brewing Co.,Wake-Up Call,Kombucha,Year Round,,Other
Kind Beer Distributing,Belgian Red Ale,Other Belgian-Style Ales,Year Round,6.0,Other
Neuse River Brewing Company,Bière de Neuse,French & Belgian-Style Saison,,7.4,Saison
Neuse River Brewing Company,Caleb’s High Noon,Imperial or Double India Pale Ale,,8.7,IPA
Neuse River Brewing Company,La Belge aDorẻe,Belgian-Style Pale Strong Ale,,8.4,Ale
Neuse River Brewing Company,Laila’s Midnight,Imperial or Double India Pale Ale,,9.5,IPA
Neuse River Brewing Company,Riverkeeper’s Wit,Belgian-Style White (or Wit) / Belgian-Style Wheat,,4.8,Other
Neuse River Brewing Company,Riviѐre,Belgian-Style Tripel,,9.2,Other
GBrewhouse,Holiday IPA,American-Style India Pale Ale,Winter,7.7,IPA
GBrewhouse,LFD (Sharks In Me Collards),Belgian-Style Pale Strong Ale,Seasonal,9.5,Ale
GBrewhouse,Wild Flower Honey Wheat,South German-Style Hefeweizen / Hefeweissbier,Summer,7.4,Hefeweizen
Preyer Brewing Company,90% Pils,American-Style Pilsener,,7.0,Other
Preyer Brewing Company,Chef Series - the Art of the Mango-zuh,Contemporary Gose,Year Round,4.8,Other
Preyer Brewing Company,GSO-zuh,Contemporary Gose,,4.4,Other
Preyer Brewing Company,Harder Better Faster,Vienna-Style Lager,,5.5,Lager
Preyer Brewing Company,HBC 344 Single Hop IPA,American-Style India Pale Ale,,6.5,IPA
Preyer Brewing Company,HBC 517 Single Hop IPA,American-Style India Pale Ale,,6.9,IPA
Preyer Brewing Company,Lewis & Krunk West Coast Style IPA,American-Style India Pale Ale,Seasonal,7.1,IPA
Preyer Brewing Company,Lunsford Robust Porter,Robust Porter,,5.8,Porter
Preyer Brewing Company,Mexican Milkshake IPA,American-Style India Pale Ale,,6.0,IPA
Preyer Brewing Company,Nevertheless She Persisted,Golden or Blonde Ale,,4.4,Ale
Preyer Brewing Company,Peach Milkshake IPA,American-Style India Pale Ale,,6.5,IPA
Preyer Brewing Company,Powder of Love,American-Style India Pale Ale,,6.8,IPA
Preyer Brewing Company,Preyer American Wheat Ale,American-Style Wheat Beer,,4.8,Wheat Beer
Preyer Brewing Company,Red Shed Red IPA,Imperial or Double India Pale Ale,,8.2,IPA
Preyer Brewing Company,Rye-ku Rye Pale Ale,American-Style Pale Ale,,5.4,Pale Ale
Preyer Brewing Company,SloFi Grapefruit Session IPA,Session India Pale Ale,,4.5,IPA
Preyer Brewing Company,Strawberry Milkshake IPA,American-Style India Pale Ale,,6.5,IPA
Preyer Brewing Company,Vladibeer Russian Imperial Stout,American-Style Imperial Stout,,8.5,Stout
Preyer Brewing Company,What You're Looking For,American-Style Brown Ale,,5.9,Ale
Starpoint Brewing,'74 - '75,American-Style Märzen / Oktoberfest,,5.8,Other
Starpoint Brewing,Dudeman,Oatmeal Stout,,5.0,Stout
Starpoint Brewing,DUH!,Imperial or Double India Pale Ale,,8.0,IPA
Starpoint Brewing,Ginger Porter,Brown Porter,,5.8,Porter
Starpoint Brewing,Hipster or Hobo?,American-Style Pale Ale,,6.2,Pale Ale
Starpoint Brewing,Mornin’ Wood Double India Pale Ale,Imperial or Double India Pale Ale,Year Round,8.2,IPA
Starpoint Brewing,Surfin' Buddha,American-Style India Pale Ale,,6.5,IPA
Starpoint Brewing,Surfin’ Buddha India Pale Ale,American-Style India Pale Ale,Year Round,6.5,IPA
Starpoint Brewing,Whiskeytown,American-Style Imperial Stout,,9.5,Stout
Bull City Ciderworks,Cherry Tart,Fruit Cider,,6.0,Other
Bull City Ciderworks,Off Main,Common Cider,,5.3,Other
Bull City Ciderworks,Orange You A Hippie,Fruit Cider,,6.0,Other
Bull City Ciderworks,Rhiz Up!,Other Specialty Cider or Perry,,6.5,Other
Bull City Ciderworks,Sweet Carolina Cider,Common Cider,,,Other
Haw River Farmhouse Ales,Brah'klava,Golden or Blonde Ale,Limited,11.1,Ale
Haw River Farmhouse Ales,#NOHOLDSIE Holdsie Da Deuce,Belgian-Style Tripel,Limited,8.2,Other
Haw River Farmhouse Ales,#NOHOLDSIE Holdsie San,Belgian-Style Tripel,Limited,8.2,Other
Haw River Farmhouse Ales,#‎NOHOLDSIE‬ Holdsie Uno,Belgian-Style Tripel,Limited,8.2,Other
Haw River Farmhouse Ales,Belgian Chocolate Stout,Other Belgian-Style Ales,,,Other
Haw River Farmhouse Ales,Beneath The Feet Of Orion,Strong Ale,,11.1,Ale
Haw River Farmhouse Ales,Carolina Peach Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,,Other
Haw River Farmhouse Ales,Citramelon White IPA,American-Style India Pale Ale,,6.9,IPA
Haw River Farmhouse Ales,Cotton Pickin' Farmhouse IPA,Imperial or Double India Pale Ale,,8.2,IPA
Haw River Farmhouse Ales,Dust Bunny Barrel Aged Wild Ale,French & Belgian-Style Saison,,4.8,Saison
Haw River Farmhouse Ales,Hiverna,Pumpkin Beer,,6.8,Other
Haw River Farmhouse Ales,House Saison,French & Belgian-Style Saison,,,Saison
Haw River Farmhouse Ales,Javaberry Cream Stout,Sweet or Cream Stout,,7.8,Stout
Haw River Farmhouse Ales,JavaCherry Cream Stout,Sweet or Cream Stout,,8.2,Stout
Haw River Farmhouse Ales,Master of the House,French-Style Bière de Garde,,8.4,Other
Haw River Farmhouse Ales,Memorial Day 2012 Wild Ale,French & Belgian-Style Saison,,5.4,Saison
Haw River Farmhouse Ales,Mille Fleur Rustic Saison,French & Belgian-Style Saison,,5.8,Saison
Haw River Farmhouse Ales,Newlin's Original Oatmeal Pale,French & Belgian-Style Saison,,5.6,Saison
Haw River Farmhouse Ales,Regent's Rye Tripel,Belgian-Style Tripel,,7.8,Other
Haw River Farmhouse Ales,Rusted Plow Farmhouse Saison,French & Belgian-Style Saison,,4.8,Saison
Haw River Farmhouse Ales,Rustic Grisette Farmhouse Ale,French & Belgian-Style Saison,,6.2,Saison
Haw River Farmhouse Ales,St. Benedict's Breakfast Dubbel,Belgian-Style Dubbel,,6.7,Other
Haw River Farmhouse Ales,Sun Hands Belgian Summer,Belgian-Style Pale Ale,,10.0,Pale Ale
Haw River Farmhouse Ales,Wild Black Saison,French & Belgian-Style Saison,,,Saison
Bark Brewing Company,Bark At the Moon Dark Brown Ale,American-Style Brown Ale,Year Round,5.8,Ale
Bark Brewing Company,BarkBerry Porter,Brown Porter,Year Round,5.2,Porter
Bark Brewing Company,Dog Daze of Summer Blonde Ale,Golden or Blonde Ale,Year Round,5.0,Ale
Bark Brewing Company,Off The Leash,Imperial or Double India Pale Ale,Year Round,7.8,IPA
Bark Brewing Company,Sit And Stay Session IPA,Session India Pale Ale,Year Round,4.6,IPA
Bark Brewing Company,Wag Your Tail Amber Ale,American-Style Amber/Red Ale,Year Round,5.6,Ale
Bombshell Beer Company,Abund N.C. IPA,Imperial or Double India Pale Ale,,9.8,IPA
Bombshell Beer Company,Barrel Aged Über Night Imperial Stout,Wood- and Barrel-Aged Strong Beer,Limited,10.0,Other
Bombshell Beer Company,Batch #1 English IPA,English-Style India Pale Ale,,5.25,IPA
Bombshell Beer Company,Bombshell Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,Limited,5.1,Other
Bombshell Beer Company,Chili Choco Bang Bang,American-Style Stout,,5.7,Stout
Bombshell Beer Company,Citra Pale Ale,American-Style Pale Ale,Year Round,5.4,Pale Ale
Bombshell Beer Company,Dirty Secret Coconut Stout,American-Style Stout,Seasonal,4.5,Stout
Bombshell Beer Company,Dirty Secret Russian Imperial Stout,British-Style Imperial Stout,,8.5,Stout
Bombshell Beer Company,Dirty Secret Stout - Coconut Bash,Specialty Stouts,,5.3,Other
Bombshell Beer Company,Head over Hops,American-Style India Pale Ale,Year Round,6.8,IPA
Bombshell Beer Company,Hipster Handshake Blueberry Wheat,American-Style Wheat Beer,,5.3,Wheat Beer
Bombshell Beer Company,JEMS Jade Pale Ale,American-Style Pale Ale,,5.25,Pale Ale
Bombshell Beer Company,Lemongrass Pale Ale,American-Style Pale Ale,,6.0,Pale Ale
Bombshell Beer Company,Polished Pilsener,American-Style Pilsener,,4.5,Other
Bombshell Beer Company,Red IPA,American-Style India Pale Ale,,7.0,IPA
Bombshell Beer Company,Spell Caster Black Ale,American-Style Black Ale,,5.0,Ale
Yellow Sun Brewing Co,Blonde Bombshell,Golden or Blonde Ale,Year Round,6.3,Ale
Yellow Sun Brewing Co,Freewheelin' Dude Rye IPA,American-Style India Pale Ale,Year Round,6.0,IPA
Yellow Sun Brewing Co,Happy Tales,American-Style Pale Ale,Year Round,5.6,Pale Ale
Yellow Sun Brewing Co,Jungle Girl,American-Style India Pale Ale,Year Round,6.5,IPA
Yellow Sun Brewing Co,Jungle Queen Red,American-Style India Pale Ale,Year Round,7.6,IPA
Yellow Sun Brewing Co,Mr. Velvet Porter,Brown Porter,Year Round,5.9,Porter
Yellow Sun Brewing Co,Trade Street Wheat,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.0,Other
Yellow Sun Brewing Co,Winter's End,South German-Style Hefeweizen / Hefeweissbier,Year Round,4.2,Hefeweizen
Yellow Sun Brewing Co,YSB Pale Ale,American-Style Pale Ale,Year Round,5.5,Pale Ale
Yellow Sun Brewing Co,YSB Porter,Brown Porter,Year Round,6.0,Porter
American Honor Beer Company,Declaration Ale,American-Style Pale Ale,,,Pale Ale
Twenty-Six Acres Brewing Company,Corban Avenue,Golden or Blonde Ale,Year Round,4.9,Ale
Twenty-Six Acres Brewing Company,Industrious People Ale,American-Style India Pale Ale,Year Round,6.7,IPA
Twenty-Six Acres Brewing Company,Second Rodeo,Robust Porter,Year Round,6.9,Porter
Twenty-Six Acres Brewing Company,Second Rodeo Joe,Robust Porter,,7.0,Porter
Twenty-Six Acres Brewing Company,Unicorn Milk,American-Style Cream Ale or Lager,Year Round,6.0,Lager
Appalachian Mountain Brewery,Baba Budan Coffee IPA,American-Style India Pale Ale,,6.6,IPA
Appalachian Mountain Brewery,Bad Mother Pucker,Berliner-Style Weisse (Wheat),,2.8,Other
Appalachian Mountain Brewery,Boone Creek Blonde,Golden or Blonde Ale,,4.7,Ale
Appalachian Mountain Brewery,C.R.E.A.M. Donut Infused Cappucino Milk Stout,Sweet or Cream Stout,,5.2,Stout
Appalachian Mountain Brewery,Chocolate Raspberry Nitro Porter,Brown Porter,,6.0,Porter
Appalachian Mountain Brewery,Coconut Chocolate Imperial Stout,American-Style Imperial Stout,,9.0,Stout
Appalachian Mountain Brewery,Daniel's Double,Imperial or Double India Pale Ale,,9.0,IPA
Appalachian Mountain Brewery,Daniel's Son,Other Specialty Cider or Perry,,5.3,Other
Appalachian Mountain Brewery,Glutenus Maximus,American-Style India Pale Ale,,6.5,IPA
Appalachian Mountain Brewery,Gracias,American-Style Dark Lager,,,Lager
Appalachian Mountain Brewery,Honey Badger,Golden or Blonde Ale,Year Round,4.7,Ale
Appalachian Mountain Brewery,Hoppy Snazzy Fresh Nitro,American-Style Pale Ale,,5.2,Pale Ale
Appalachian Mountain Brewery,Leave No Trace IPA,American-Style India Pale Ale,,,IPA
Appalachian Mountain Brewery,Long Leaf,American-Style India Pale Ale,Year Round,7.1,IPA
Appalachian Mountain Brewery,Mystic Dragon Cider,Other Specialty Cider or Perry,,5.3,Other
Appalachian Mountain Brewery,Nilla Hay-Fa,American-Style Pale Ale,,5.17,Pale Ale
Appalachian Mountain Brewery,"No Rye’me, No Reason",American-Style Pale Ale,,,Pale Ale
Appalachian Mountain Brewery,Not-A-Double DIPA,Imperial or Double India Pale Ale,,8.7,IPA
Appalachian Mountain Brewery,Panic Water Hoppy Pilsner,International-Style Pilsener,Seasonal,5.4,Other
Appalachian Mountain Brewery,Pom Pom Gose,Contemporary Gose,,3.8,Other
Appalachian Mountain Brewery,Saison V-10,French & Belgian-Style Saison,,5.8,Saison
Appalachian Mountain Brewery,Sinful Plum Cider,Common Cider,Year Round,,Other
Appalachian Mountain Brewery,Spoaty Oaty Hopalicious,American-Style Pale Ale,,5.0,Pale Ale
Appalachian Mountain Brewery,Switchback AMBer,American-Style Amber/Red Ale,,,Ale
Appalachian Mountain Brewery,The Blonde AMBition,Golden or Blonde Ale,Year Round,,Ale
Appalachian Mountain Brewery,White Dot,American-Style India Pale Ale,Limited,4.8,IPA
Appalachian Mountain Brewery,Zest Yo'self,American-Style India Pale Ale,,7.1,IPA
BearWaters Brewing Company,BlackBerry Chocolate Barrel Aged Stout,Wood- and Barrel-Aged Beer,,7.6,Other
BearWaters Brewing Company,BlackWater Rye IPA,American-Style India Pale Ale,,6.2,IPA
BearWaters Brewing Company,Brown Mountain Dark Ale,American-Style Brown Ale,,5.8,Ale
BearWaters Brewing Company,Chocolate Cherry Stout,American-Style Stout,,6.0,Stout
BearWaters Brewing Company,Delta Blond Ale,Golden or Blonde Ale,Year Round,6.0,Ale
BearWaters Brewing Company,Folkmalt Mango Lager,American-Style Lager,,5.2,Lager
BearWaters Brewing Company,Hi Bear Nation Pale Ale,American-Style Pale Ale,,6.2,Pale Ale
BearWaters Brewing Company,High Brace ESIPA,American-Style India Pale Ale,,11.0,IPA
BearWaters Brewing Company,Minorcan Porter,Brown Porter,,7.0,Porter
BearWaters Brewing Company,Mud Bug Barrel Aged Stout,Wood- and Barrel-Aged Strong Beer,,,Other
BearWaters Brewing Company,Neapolitan Blown Apart,Wood- and Barrel-Aged Beer,,6.4,Other
BearWaters Brewing Company,Nick's Crick,Belgian-Style Dark Strong Ale,Winter,7.3,Ale
BearWaters Brewing Company,Octoberfest,German-Style Oktoberfest / Wiesen (Meadow),,6.0,Other
BearWaters Brewing Company,Paddle Free ESB,Extra Special Bitter,Year Round,6.0,Other
BearWaters Brewing Company,Paint Rock Porter,Brown Porter,,6.3,Porter
BearWaters Brewing Company,Pecan Pie Porter,Brown Porter,,5.8,Porter
BearWaters Brewing Company,Pumpkin PFD,Pumpkin Beer,,6.0,Other
BearWaters Brewing Company,Red Ear Slider,American-Style India Pale Ale,,6.0,IPA
BearWaters Brewing Company,Rip Current Red,American-Style Amber/Red Ale,,5.8,Ale
BearWaters Brewing Company,Shining Creek Bourbon Aged Red,Wood- and Barrel-Aged Beer,,8.0,Other
BearWaters Brewing Company,Sliding Rock Ale,English-Style Pale Mild Ale,Year Round,4.5,Ale
BearWaters Brewing Company,Snownado Stout,American-Style Stout,Seasonal,6.4,Stout
BearWaters Brewing Company,Stiff Paddle IPA,American-Style India Pale Ale,Year Round,,IPA
BearWaters Brewing Company,Stone Imperial Stout,American-Style Imperial Stout,Year Round,,Stout
BearWaters Brewing Company,Strawberry Blonde,Golden or Blonde Ale,,6.0,Ale
BearWaters Brewing Company,Sunburst Saison,French & Belgian-Style Saison,Seasonal,6.8,Saison
BearWaters Brewing Company,Three Bears,Belgian-Style Tripel,Limited,13.0,Other
BearWaters Brewing Company,Upper Falls IPA,American-Style India Pale Ale,,11.0,IPA
BearWaters Brewing Company,White Water Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,5.8,Hefeweizen
New Sarum Brewing,142 Blonde Ale with Grits,American-Style Cream Ale or Lager,,5.5,Lager
New Sarum Brewing,Bananas Foster,South German-Style Hefeweizen / Hefeweissbier,,,Hefeweizen
New Sarum Brewing,Bell Tower Honey Nut Brown Ale,American-Style Brown Ale,Fall,8.6,Ale
New Sarum Brewing,Chai Milk Stout,Sweet or Cream Stout,,,Stout
New Sarum Brewing,Coaches and Carriages Series: Bravetart,Scottish-Style Heavy Ale,,7.0,Ale
New Sarum Brewing,Coaches and Carriages Series: Hollaback Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,,5.7,Hefeweizen
New Sarum Brewing,Dunn's Mountain Cucumber Kolsch,German-Style Kölsch / Köln-Style Kölsch,,6.3,Other
New Sarum Brewing,Galactic Mango,French & Belgian-Style Saison,,7.0,Saison
New Sarum Brewing,High Rock Red Ale,American-Style Amber/Red Ale,,6.0,Ale
New Sarum Brewing,Lemon Balm and Beet Hoppy Wheat,Herb and Spice Beer,,6.5,Other
New Sarum Brewing,Old Stone House IPA,American-Style India Pale Ale,,7.8,IPA
New Sarum Brewing,Round House Robust Porter,Robust Porter,,7.0,Porter
New Sarum Brewing,​Hurley Park Blood Orange Wheat,Fruit Wheat Ale or Lager with or without Yeast,,6.0,Other
Pitt Street Brewing Company,1761 Belgian Dubbel,Belgian-Style Dubbel,,6.3,Other
Pitt Street Brewing Company,Articles of War Double IPA,Imperial or Double India Pale Ale,,10.5,IPA
Pitt Street Brewing Company,Cod of Conduct Hazy IPA,Juicy or Hazy India Pale Ale,,6.8,IPA
Pitt Street Brewing Company,Dapple Dog Dry Stout,Classic Irish-Style Dry Stout,Seasonal,5.4,Stout
Pitt Street Brewing Company,Don't Gose Chasin' Waterfalls,Contemporary Gose,,5.0,Other
Pitt Street Brewing Company,Haychaser Kolsch,German-Style Kölsch / Köln-Style Kölsch,,6.1,Other
Pitt Street Brewing Company,It's Not a Tumor Schwarzbier,Vienna-Style Lager,,4.8,Lager
Pitt Street Brewing Company,Mirror for the Sun Lime Blonde Ale,Golden or Blonde Ale,,5.1,Ale
Pitt Street Brewing Company,Ocean Potion Hazy IPA,Juicy or Hazy India Pale Ale,,6.5,IPA
Pitt Street Brewing Company,Pactolus Light Lager,American-Style Light (Low Calorie) Lager,,4.7,Lager
Pitt Street Brewing Company,Royster Stout,Specialty Stouts,,6.7,Other
Pitt Street Brewing Company,Self Care Steam Beer,California Common Beer,,6.3,Other
Pitt Street Brewing Company,Wu Tang Clan Orster stout,Sweet or Cream Stout,,6.7,Stout
Wooden Robot Brewery,A Sour Darkly,American-Style Sour Ale,,6.4,Ale
Wooden Robot Brewery,A-O River!,American-Style India Pale Ale,,6.4,IPA
Wooden Robot Brewery,All Amarillo Everything,American-Style India Pale Ale,,6.5,IPA
Wooden Robot Brewery,Berry Dark Sour,American-Style Sour Ale,,5.5,Ale
Wooden Robot Brewery,Botbier,Belgian-Style Blonde Ale,,5.4,Ale
Wooden Robot Brewery,Botoberfest,American-Style Lager,,5.5,Lager
Wooden Robot Brewery,By Vine And Stave,French & Belgian-Style Saison,,6.6,Saison
Wooden Robot Brewery,Cranpus,French & Belgian-Style Saison,,4.8,Saison
Wooden Robot Brewery,Desserted Island,Sweet or Cream Stout,,6.4,Stout
Wooden Robot Brewery,Foeder For Thought,American-Style Sour Ale,,6.5,Ale
Wooden Robot Brewery,Generously Hopped V1,American-Style India Pale Ale,,6.0,IPA
Wooden Robot Brewery,Godless Killing Machine,American-Style Imperial Stout,,10.5,Stout
Wooden Robot Brewery,Good Morning Vietnam,Golden or Blonde Ale,,5.0,Ale
Wooden Robot Brewery,Heidi Ho Neighborino,American-Style India Pale Ale,,4.7,IPA
Wooden Robot Brewery,Kill All Humans,American-Style Stout,,5.2,Stout
Wooden Robot Brewery,Kill All Humans Nitro,American-Style Stout,,5.2,Stout
Wooden Robot Brewery,Law and Porter,Brown Porter,,5.3,Porter
Wooden Robot Brewery,Magic Hop Dust,American-Style Pale Ale,,5.6,Pale Ale
Wooden Robot Brewery,Mango Vs Wild,American-Style Sour Ale,,7.2,Ale
Wooden Robot Brewery,Mark It Zero,American-Style India Pale Ale,,6.4,IPA
Wooden Robot Brewery,Mocha Good Morning Vietnam,Golden or Blonde Ale,,5.0,Ale
Wooden Robot Brewery,Mosaic Ain't So,American-Style Pale Ale,,5.0,Pale Ale
Wooden Robot Brewery,Nuts and Bolts,American-Style Brown Ale,,5.2,Ale
Wooden Robot Brewery,Overachiever,American-Style Pale Ale,,5.3,Pale Ale
Wooden Robot Brewery,Peachy Apribot,American-Style Sour Ale,,5.5,Ale
Wooden Robot Brewery,Renegades of Funk,French & Belgian-Style Saison,,5.3,Saison
Wooden Robot Brewery,Sol Mates,English-Style Summer Ale,,5.0,Ale
Wooden Robot Brewery,Summer Porter,Brown Porter,,5.0,Porter
Wooden Robot Brewery,Sweater Weather,Extra Special Bitter,,5.4,Other
Wooden Robot Brewery,Swirl It!,American-Style Sour Ale,,5.3,Ale
Wooden Robot Brewery,T-Rex Arms,Leipzig-Style Gose,,4.3,Other
Wooden Robot Brewery,The Legendary Roots Brew Ginger Saison,French & Belgian-Style Saison,,4.0,Saison
Wooden Robot Brewery,Universal Automation,American-Style Sour Ale,,4.8,Ale
Wooden Robot Brewery,Vermontster,Brown Porter,,8.0,Porter
Wooden Robot Brewery,What He's Having,American-Style India Pale Ale,,6.7,IPA
Wooden Robot Brewery,What I'm Having,Session India Pale Ale,,4.7,IPA
Wooden Robot Brewery,What She's Having,Imperial or Double India Pale Ale,,8.3,IPA
Wooden Robot Brewery,Willie Saison,French & Belgian-Style Saison,,5.1,Saison
Naked Apple Hard Cider,Blackberry Gold,Fruit Cider,,6.0,Other
Heist Brewery,Ancho Mamma's Beer,Chili Pepper Beer,,5.78,Other
Heist Brewery,Black Lotus Porter,Brown Porter,Seasonal,,Porter
Heist Brewery,Clyde,American-Style India Pale Ale,,6.5,IPA
Heist Brewery,Cross Variation,Other Belgian-Style Ales,,7.3,Other
Heist Brewery,Distinction,Oatmeal Stout,,3.3,Stout
Heist Brewery,God Save the Queen City,Other Belgian-Style Ales,,5.8,Other
Heist Brewery,Limo Driver,Herb and Spice Beer,,7.4,Other
Heist Brewery,Living to Get Radical,Imperial or Double India Pale Ale,,8.5,IPA
Heist Brewery,Midnight Run,American-Style Stout,,,Stout
Heist Brewery,Mobster Imperial Indian Pale Ale,Imperial or Double India Pale Ale,,,IPA
Heist Brewery,Pilot Pale Ale,American-Style Pale Ale,,,Pale Ale
Heist Brewery,Pirate Imperial Pale Ale,Strong Ale,,,Ale
Heist Brewery,Pretty & Witty,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.3,Other
Heist Brewery,San Fran Disco,American-Style Pale Ale,,5.4,Pale Ale
Heist Brewery,Succession,Session Beer,,4.5,Other
Heist Brewery,Sure Shot Amber,American-Style Amber/Red Ale,,,Ale
